modified a workflow state,modificou uma etapa
"Email Domain not configured for this account, Create one?","Domínio de email não configurado para esta conta,. Criar um?"
Email Domain,Domínio de Email
Email Addresses,Endereço de Email
Email Account added multiple times,Conta de email adicionada várias vezes
Email Account Name,Nome da Conta de Email
Eg. smsgateway.com/api/send_sms.cgi,Por exemplo: smsgateway.com / api / send_sms.cgi
Editing Row,Editando Linha
Editable Grid,Grid Editável
Edit {0},Edite {0}
Edit to add content,Edite para adicionar conteúdo
IT Request,Solicitação de TI
Edit Properties,Editar Propriedades
Edit Heading,Editar Cabeçalho
Edit HTML,Editar HTML
Edit Format,Editar Formato
Edit Filter,Editar Filtro
Edit DocType,Editar DocType
Edit Custom HTML,Editar HTML Personalizado
Edit Auto Email Report Settings,Editar configurações de relatório automático de e-mail
ESC,ESC
Dynamic Report Filters,Filtros dinâmicos de relatórios
Dynamic Link,Link dinâmico
Duplicate Filter Name,Nome do Filtro Duplicado
Dropbox backup settings,configurações de cópias de segurança para o Dropbox
Dropbox access is approved!,O acesso ao Dropbox está aprovado!
Dropbox Setup,Configuração do Dropbox
Dropbox Settings,Configurações Dropbox
Dropbox Access Token,Token de acesso Dropbox
Dropbox Access Secret,Segredo de Acesso Dropbox
Dropbox Access Key,Dropbox Chave de Acesso
Drag elements from the sidebar to add. Drag them back to trash.,Arraste os elementos da barra lateral para adicionálos. Arraste-os de volta para eliminar.
Drag and Drop tool to build and customize Print Formats.,Ferramenta de segure e arraste para construir e personalizar formatos de impressão.
Download with Data,Download com dados
Download link for your backup will be emailed on the following email address: {0},Link de download para o seu backup será enviado por email no seguinte endereço de email: {0}
Download Your Data,Baixe seus dados
Download Report,Relatório de download
Download Link,Baixar link
Download Files Backup,Download de backup de arquivos
Download Data,Download de dados
"Don't know, ask 'help'","Não sei, peça 'ajuda'"
Don't have an account? Sign up,Não tem uma conta? Se inscreva
Don't create new records,Não crie novos registros
Don't Override Status,Não Sobrescrever o Status
"Don't HTML Encode HTML tags like &lt;script&gt; or just characters like &lt; or &gt;, as they could be intentionally used in this field","Não etiquetas HTML Encode HTML como &lt;script&gt; ou apenas caracteres como &lt;ou&gt;, uma vez que poderia ser usado intencionalmente neste campo"
Domains HTML,Domínios HTML
Domain Settings,Configurações de Domínio
Documents assigned to you and by you.,Documentos atribuídos a você e por você.
Documents,Documentos
Document {0} has been set to state {1} by {2},O documento {0} foi definido para declarar {1} por {2}
Document can't saved.,O documento não pode ser salvo.
Document Types,Tipos de documento
Document Type to Track,Tipo de Documento a Seguir
Document Type is not submittable,O tipo de documento não é submittable
Document Type is not importable,Tipo de documento não é importável
Document States,Documento Unidos
Document Share Report,Relatório de Documentos Compartilhados
Document Restored,Documento Restaurado
Document Queued,Documento em Fila de Espera
Document Follow Notification,Notificação de Rastreamento do Documento
Document Follow,Rastrear Documento
Document,Documento
Doctype required,Doctype obrigatório
"DocType's name should start with a letter and it can only consist of letters, numbers, spaces and underscores","O nome de DocType deve começar com uma letra e só pode consistir de letras, números, espaços e sublinhados"
DocType on which this Workflow is applicable.,DocType em que este fluxo de trabalho é aplicável.
DocType must be Submittable for the selected Doc Event,DocType deve ser enviado para o Evento de Doc selecionado
DocType is a Table / Form in the application.,DocType é uma Tabela / Form na aplicação.
DocType can only be renamed by Administrator,DocType só pode ser renomeado pelo Administrador
DocType can not be merged,DocType não podem ser mescladas
DocType {0} provided for the field {1} must have atleast one Link field,O DocType <b>{0}</b> fornecido para o campo <b>{1}</b> deve ter pelo menos um campo Link
DocShare,DocShare
DocPerm,DocPerm
DocField,DocField
Doc Status,Status do Documento
Doc Events,Doc Eventos
Doc Event,Evento de Doc
Do not send Emails,Não envie e-mails
Do not edit headers which are preset in the template,Não edite cabeçalhos que estejam predefinidos no modelo
Do not allow user to change after set the first time,Não permitir que o usuário altere após definir o primeiro tempo
Display Depends On,Visualização depende
Display,exibição
Discard,Descartar
Disable Standard Email Footer,Desativar Rodapé Padrão do Email
Disable Signup,Desativar Registre-se
Disable Sidebar Stats,Desativar Estatísticas da Barra Lateral
Disable SMTP server authentication,Desativar autenticação do servidor SMTP
Disable Report,Desativar Relatório
Disable Prepared Report,Desativar relatório preparado
Disable Customer Signup link in Login page,Desativar Link de Inscrição na Página de Login
Disable Count,Desativar Contagem
Disable Auto Refresh,Desativar atualização automática
Direct room with {0} already exists.,Sala direta com {0} já existe.
Direct,Direto
"Different ""States"" this document can exist in. Like ""Open"", ""Pending Approval"" etc.","""Status"" diferentes em que esse documento pode existir. Como ""Aberto"", ""Aprovação Pendente"", etc"
Did not remove,Não removido
Did not find {0} for {0} ({1}),Não encontrou {0} para {0} ( {1})
Did not cancel,Não cancelou
Did not add,Não adicionado
Developer,Desenvolvedor
Desktop Icon already exists,Ícone da área de trabalho já existe
Desktop Icon,Ícone da área de trabalho
Desk Access,Acesso ao Ambiente de Trabalho
Desk,Mesa
Descendants Of,Descendentes De
Depends On,Depende de
Deleting {0},Excluindo {0}
Deleted Name,Nome Excluído
Deleted Documents,Documentos excluídos
Deleted Document,Documento Excluído
Deleted DocType,DocType Excluído
Deleted,Excluído(a)
Delete {0} items permanently?,Excluir {0} itens permanentemente?
Delete this record to allow sending to this email address,Excluir este registro para permitir o envio para esse endereço de email
Delete comment?,Excluir comentário?
Delete Data,Excluir dados
Delayed,Atrasado
Defines workflow states and rules for a document.,Define o status de fluxo de trabalho e regras para um documento.
Defines actions on states and the next step and allowed roles.,"Define ações em status, o próximo passo e as funções com permissão."
Define workflows for forms.,Defina fluxos de trabalho para formulários.
DefaultValue,Valor padrão
"Default: ""Contact Us""","Padrão: ""Fale Conosco"""
Default Value,Valor padrão
Default Sort Order,Ordem de classificação padrão
Default Sort Field,Campo de classificação padrão
Default Sending and Inbox,Padrão para Envio e Recebimento
Default Sending,Padrão Envio
Default Role at Time of Signup,Função padrão no momento da inscrição
Default Redirect URI,Padrão de redirecionamento URI
Default Print Language,Idioma de impressão padrão
Default Print Format,Formato de impressão padrão
Default Outgoing,Outgoing Padrão
Default Incoming,Padrão de Entrada
Default Inbox,Caixa de Entrada Padrão
Default Address Template cannot be deleted,Template endereço padrão não pode ser excluído
Dear {0},Caro {0}
"Dear User,","Querido usuário,"
"Dear System Manager,","Caro Administrador do Sistema,"
Days Before or After,Dias Antes ou Após
Days Before,Dias Antes
Days After,Dias Após
Day of Week,Dia da Semana
Dates are often easy to guess.,Datas são frequentemente fáceis de adivinhar.
Date {0} must be in format: {1},A data {0} deve estar no formato: {1}
Date and Number Format,Data e Formato de número
Database Name,Nome do Banco de Dados
Database Engine,Engine do Banco de Dados
Data missing in table,Falta de dados na tabela
Data Migration Run,Execução de Migração de Dados
Data Migration Plan Mapping,Mapeamento do Plano de Migração de Dados
Data Migration Plan,Plano de Migração de Dados
Data Migration Mapping Detail,Detalhes do Mapeamento de Migração de Dados
Data Migration Mapping,Mapeamento de Migração de Dados
Data Migration Connector,Conector de Migração de Dados
Data Migration,Migração de Dados
Data Import Template,Modelo de Importação de Dados
Data Import,Importação de dados
Data Export,Exportação de Dados
Data,Dados
Dashboards,Dashboards
Dashboard Name,Nome do Dashboard
Dashboard Chart Source,Origem do Gráfico de Dashboard
Dashboard Chart Link,Link do Gráfico de Dashboard
Dashboard Chart,Gráfico de Dashboard
Dark Color,Cor Escura
Danger,Perigo
Daily Event Digest is sent for Calendar Events where reminders are set.,O resumo de eventos diário é enviado para o Calendário de eventos onde os lembretes são definidos.
DESC,DESC
Cut,Cortar
Customized HTML Templates for printing transactions.,Modelos HTML customizados para transações de impressão.
"Customized Formats for Printing, Email","Formatos Personalizados para Impressão, Email"
Customize...,Personalizar...
"Customize Label, Print Hide, Default etc.","Personalizar Etiquetas, Cabeçalhos, Padrões, etc."
Customize Form Field,Personalizar Campo de Formulário
Customize Form,Personalizar Formulário
Customizations for {0} exported to:{1},Personalizações para <b>{0}</b> exportadas para: <br> {1}
Customizations Reset,Redefinição de Personalizações
Customization,Personalização
Custom Translations,Traduções Personalizadas
Custom Sidebar Menu,Menu de personalização da barra lateral
Custom Script,Script Personalizado
Custom Role,Função Personalizada
Custom Reports,Relatórios Personalizados
Custom Report,Relatório Personalizado
Custom Menu Items,Itens de Menu Personalizado
Custom JS,JS personalizado
Custom HTML Help,Ajuda HTML Personalizado
Custom Format,Formato Personalizado
Custom Fields cannot be added to core DocTypes.,Campos personalizados não podem ser adicionados aos principais DocTypes.
Custom Fields can only be added to a standard DocType.,Campos personalizados só podem ser adicionados a um DocType padrão.
Custom Field,Campo Personalizado
Custom DocPerm,DocPerm personalizado
Custom CSS,CSS Personalizado
Custom Base URL,URL Base Base
Custom,Personalizado
Currently updating {0},Atualmente atualizando {0}
Currently Viewing,Atualmente Exibindo
Current Mapping Type,Tipo de mapeamento atual
Current Mapping Start,Início do mapeamento atual
Current Mapping Delete Start,Mapeamento atual Excluir Início
Current Mapping Action,Ação de Mapeamento atual
Current Mapping,Mapeamento atual
Currency Precision,Precisão de moeda
Currency Name,Nome da Moeda
Ctrl+Enter to add comment,Ctrl+Enter para adicionar comentário
Ctrl + Up,Ctrl + Seta para cima
Ctrl + Down,Ctrl + Seta para baixo
Criticize,Criticar
Criticism,Crítica
Created On,Criado em
Created Custom Field {0} in {1},Criado campo personalizado {0} em {1}
Created,Criado
Create and manage newsletter,Crie e gerencie o boletim informativo
Create and Send Newsletters,Criar e enviar email marketing
Create a new {0},Criar um(a) novo(a) {0}
Create a new record,Crie um novo registro
Create a New Format,Criar um novo formato
Create User Email,Criar e-mail de usuário
Create Post,Criar postagem
Create New,Criar Novo
Create Chart,Criar gráfico
County,Município
Country Name,Nome do País
Count,Contagem
Could not identify {0},Não foi possível identificar {0}
Could not find {0} in {1},Não foi possível localizar {0} em {1}
Could not find {0},Não foi possível encontrar {0}
Could not connect to outgoing email server,Não foi possível conectar ao servidor de envio emails
Core DocTypes cannot be customized.,DocTypes principais não podem ser personalizados.
Core,Núcleo
Copyright,Direitos autorais
Conversation Tones,Tons de conversação
Content web page.,Conteúdo da Página Web
Content Hash,Hash do conteúdo
Content (Markdown),Conteúdo (Markdown)
Content (HTML),Conteúdo (HTML)
Contacts,Contatos
"Contact options, like ""Sales Query, Support Query"" etc each on a new line or separated by commas.","Opções de contato, como ""Perguntas sobre Vendas, Perguntas de suporte"", etc cada uma em uma nova linha ou separadas por vírgulas."
Contact Us Settings,Configurações do Fale Conosco
Connector Type,Tipo de conector
Connector Name,Nome do conector
Connection lost. Some features might not work.,Conexão perdida. Alguns recursos podem não funcionar.
Connection Success,Sucesso de conexão
Connection Name,Nome da Conexão
Connected to QZ Tray!,Conectado ao QZ Tray!
Confirmed,Confirmado
Confirm Your Email,Confirme seu Email
Confirm Request,Confirmar pedido
Confirm Deletion of Data,Confirme a exclusão de dados
Confirm,Confirmar
Configure Charts,Configurar Gráficos
Configure Chart,Configurar Gráfico
Conditions,Condições
Condition Detail,Detalhe da condição
Compose Email,Escrever um email
Complete Setup,Instalação Concluída
Complete Registration,Registro Completo
Complete By,Finalizar até
Compiled Successfully,Compilado com sucesso
Company Introduction,Introdução da Empresa
Company History,Histórico da Empresa
Communication Type,Tipo de comunicação
Communicated via {0} on {1}: {2},Comunicada via {0} em {1}: {2}
Common names and surnames are easy to guess.,Os nomes comuns e sobrenomes são fáceis de adivinhar.
Comments cannot have links or email addresses,Comentários não podem ter links ou endereços de e-mail
Comments and Communications will be associated with this linked document,Comentários e comunicações serão associados com este documento relacionado
Commented on {0}: {1},Comentou sobre {0}: {1}
Comment can only be edited by the owner,O comentário só pode ser editado pelo proprietário
Comment Type,Tipo de Comentário
Comment Email,Comentário Email
Comment By,Comentário por
Combination of Grant Type ({0}) and Response Type ({1}) not allowed,Combinação de Tipo de Subsídio ( <code>{0}</code> ) e Tipo de Resposta ( <code>{1}</code> ) não permitido
Columns based on,Colunas baseadas em
Columns,Colunas
Column Name cannot be empty,Nome da coluna não pode estar em branco
Column Name,Nome da coluna
Column Labels:,Rótulos de coluna:
Column Break,Quebra de coluna
Column {0} already exist.,Coluna <b>{0}</b> já existe.
Column,Coluna
Collapsible Depends On,Depende dobrável
Collapsible,Desmontável
Client side script extensions in Javascript,Extensões de script do lado do cliente em Javascript
Client URLs,URLs do Cliente
Client Script,Script de Cliente
Client Information,Informação ao cliente
Client Credentials,Credenciais no cliente
Clicked,Clicado
Click to Set Filters,Clique para definir filtros
Click table to edit,Clique na tabela para editar
Click on the link below to verify your request,Clique no link abaixo para verificar sua solicitação
Click on the link below to download your data,Clique no link abaixo para baixar seus dados
Click on the link below to complete your registration and set a new password,Clique no link abaixo para completar o seu registo e definir uma nova senha
Click here to verify,Clique aqui para verificar
Click here to post bugs and suggestions,Clique aqui para enviar erros e sugestões
"Clearing end date, as it cannot be in the past for published pages.","Apagar data de término, como não pode ser no passado para páginas publicadas."
Clear all roles,Desmarque todas as funções
Clear User Permissions,Limpar permissões do usuário
Clear Error Logs,Limpar Logs de Erro
Choose authentication method to be used by all users,Escolha o método de autenticação a ser usado por todos os usuários
Child Tables are shown as a Grid in other DocTypes,Tabelas secundárias são mostradas como uma grade em outros DocTypes
Child Table Mapping,Mapeamento de tabela infantil
Checksum Version,Versão Checksum
Checking one moment,"Checando,nto"
Check which Documents are readable by a User,Confira quais os documentos são lidos por um Usuário
Check this to pull emails from your mailbox,Marque para baixar os emails da sua caixa de emails
Check this if you are testing your payment using the Sandbox API,Marque esta opção se você estiver testando o seu pagamento usando o API Sandbox
"Check columns to select, drag to set order.","Verifique colunas para selecionar, arrastar para definir a ordem."
Check Request URL,URL de solicitação de verificação
Check,Verificação
Chat messages and other notifications.,Mensagens do chat e outras notificações.
Chat Type,Tipo de bate-papo
Chat Token,Token de bate-papo
Chat Room User,Usuário da sala de bate-papo
Chat Room Name,Nome da sala de bate-papo
Chat Room,Sala de bate-papo
Chat Profile for User {0} exists.,Perfil de bate-papo para o usuário {0} existe.
Chat Profile,Perfil do bate-papo
Chat Operators,Operadores de bate-papo
Chat Message,Mensagem de bate-papo
Chat Background,Fundo de bate-papo
Chat,Chat
Charts,Gráficos
Chart Type,Tipo de gráfico
Chart Source,Fonte do gráfico
Chart Options,Opções de gráfico
Chart Name,Nome do gráfico
Channel,Canal
"Change field properties (hide, readonly, permission etc.)","Alterar as propriedades do campo (esconder , readonly , permissão etc )"
Change Password,Alterar Senha
Change Label (via Custom Translation),Alterar etiqueta (via tradução personalizada)
Chaining Hash,Chain Hash
Chain Integrity,Integridade da Corrente
"Certain documents, like an Invoice, should not be changed once final. The final state for such documents is called Submitted. You can restrict which roles can Submit.","Alguns documentos , como uma fatura , não deve ser trocada uma vez final. O estado final de tais documentos é chamado Enviado. Você pode restringir quais funções pode se submeter."
Cent,Centavo
Category Description,Descrição da Categoria
Categorize blog posts.,Categorizar posts.
Card Details,Detalhes do cartão
Capitalization doesn't help very much.,"A senha não é boa o suficiente, mas será aceita."
Cannot {0} {1},Não é possível {0} {1}
Cannot use sub-query in order by,"não pode usar sub-consulta, a fim de"
Cannot update {0},Não é possível atualizar {0}
Cannot set Notification on Document Type {0},Não é possível definir a notificação no tipo de documento {0}
Cannot remove ID field,Não é possível remover o campo ID
Cannot open {0} when its instance is open,Não é possível abrir {0} quando sua instância está aberta
Cannot open instance when its {0} is open,"Não é possível abrir instância , quando o seu {0} é aberto"
Cannot move row,Não é possível mover a linha
Cannot map because following condition fails:,Não é possível mapear porque seguinte condição de falha:
Cannot link cancelled document: {0},Não é possível vincular documento cancelado: {0}
Cannot have multiple printers mapped to a single print format.,Não é possível ter várias impressoras mapeadas para um único formato de impressão.
Cannot edit standard fields,Não é possível editar campos padrão
Cannot edit cancelled document,Não é possível editar documento cancelado
Cannot edit a standard report. Please duplicate and create a new report,"Não é possível editar um relatório padrão. Por favor, duplique e crie um novo relatório"
"Cannot edit Standard Notification. To edit, please disable this and duplicate it","Não é possível editar a notificação padrão. Para editar, desative e duplique"
Cannot delete {0} as it has child nodes,"Não é possível excluir {0} , pois tem nós filhos"
Cannot delete {0},Não é possível excluir {0}
Cannot delete standard field. You can hide it if you want,Não é possível excluir campo padrão. Você pode escondê-lo se você quiser
Cannot delete or cancel because {0} {1} is linked with {2} {3} {4},Não é possível excluir ou cancelar porque {0} {1} está vinculado com {2} {3} {4}
Cannot delete file as it belongs to {0} {1} for which you do not have permissions,Não é possível excluir o arquivo como ele pertence a {0} {1} para o qual você não possui permissões
Cannot delete Home and Attachments folders,Não é possível excluir pastas Inicial e Anexos
Cannot create a {0} against a child document: {1},Não é possível criar um {0} contra um documento filho: {1}
Cannot change user details in demo. Please signup for a new account at https://erpnext.com,Não é possível alterar os detalhes do usuário na demo. Inscreva-se para uma nova conta em https://erpnext.com
Cannot change state of Cancelled Document. Transition row {0},Não é possível alterar o estado de Documento Cancelado .
Cannot change header content,Não é possível alterar o conteúdo do cabeçalho
Cannot change docstatus from 1 to 0,Não é possível alterar docstatus 1-0
Cannot change docstatus from 0 to 2,Não é possível alterar docstatus 0-2
Cannot cancel before submitting. See Transition {0},Não pode cancelar antes de enviar.
Cannot Remove,Não é Possível Remover
Cancelling {0},Cancelando {0}
Cancelling,Cancelando
Cancelled Document restored as Draft,Documento Cancelado restaurado como Rascunho
Cancel {0} documents?,Cancelar {0} documentos?
Can't save the form as data import is in progress.,Não é possível salvar o formulário à medida que a importação de dados está em andamento.
Can't identify open {0}. Try something else.,Não é possível identificar aberto {0}. Tente outra coisa.
Can Write,Pode Escrever
Can Share,Pode Compartilhar
Can Read,Pode Ler
Call,Chamada Telefônica
Calendar View,Vista Calendário
Calendar Name,Nome do calendário
Calculate,Calcular
Cache Cleared,Cache Limpo
CSV,CSV
CSS,CSS
"CC, BCC & Email Template","CC, BCC e modelo de e-mail"
CC,CC
Bypass restricted IP Address check If Two Factor Auth Enabled,Ignorar verificação de endereço IP restrito se dois fatores de autenticação habilitados
Bypass Two Factor Auth for users who login from restricted IP Address,Bypass Two Factor Auth para usuários que fazem login do endereço IP restrito
Button Label,Etiqueta do botão
Button Help,Botão de Ajuda
Button,Botão
Bulk Update,Alteração em Massa
Bulk Rename,Renomear em Massa
Bulk Edit {0},Edição em Massa {0}
Bulk Delete,Excluir em massa
Build Report,Criar relatório
Brute Force Security,Segurança da força bruta
Browser not supported,Navegador não suportado
Breadcrumbs,Breadcrumbs
Brand Image,Imagem da Marca
Brand HTML,Marca HTML
Braintree payment gateway settings,Configurações do gateway de pagamento Braintree
Braintree Settings,Configurações Braintree
Bounced,Bounced
Both login and password required,Login e senha necessários
Both DocType and Name required,Ambos DocType e Nome é obrigatório
Bot,Bot
Blogger,Blogueiro
Blog Title,Título do Blog
Blog Settings,Configurações do Blog
Blog Post,Mensagem do Blog
Blog Introduction,Introdução do Blog
Blog Intro,Introdução do Blog
Blog Category,Categoria do Blog
Blog,Blog
Blocked,Bloqueado
Block Modules,Bloquear Módulos
Block Module,Módulo Bloco
Birth Date,Data de nascimento
Bio,Bio
Between,Entre
Better add a few more letters or another word,Recomenda-se adicionar mais algumas letras ou colocar uma palavra adicional
Beta,Beta
Based on Permissions For User,Com base em permissões para o usuário
Base Distinguished Name (DN),Base de dados de nome distinto (DN)
Bar,Barra
Banner is above the Top Menu Bar.,A faixa está acima da barra de menu superior.
Banner Image,Imagem do Banner
Banner HTML,Faixa HTML
Banner,Faixa
Backups,Backups
Backup job is already queued. You will receive an email with the download link,O trabalho de backup já está em fila. Você receberá um e-mail com o link de download
Backup Limit,Limite de backup
Backup Frequency,Frequência de Backup
Backup,Cópia de segurança
Background Workers,Trabalhadores em Segundo Plano
Background Jobs,Tarefas em Segundo Plano
Background Email Queue,Fila de Email em Segundo Plano
Background Color,Cor de Fundo
Back to Login,Voltar para Login
Back to Desk,De volta à mesa
BCC,BCC
Away,Longe
Awaiting Password,Aguardando Senha
Avoid years that are associated with you.,Evite anos associados a você.
Avoid sequences like abc or 6543 as they are easy to guess,"Evite sequências como abc ou 6543, pois são fáceis de adivinhar"
Avoid recent years.,Evite anos recentes.
Avoid dates and years that are associated with you.,Evite datas e anos associados a você.
Average of {0},Média de {0}
Average,Média
Avatar,Avatar
Automation,Automação
Automatically Assign Documents to Users,Atribuir documentos automaticamente aos usuários
Auto assignment failed: {0},Atribuição automática falhou: {0}
Auto Reply Message,Resposta Automática
Auto Name,Nome Automático
Auto Email Report,Relatório por Email Automático
Auto,Auto
Authorized,Autorizado
Authorize URL,Autorizar URL
Authorization Code,Código de autorização
Authentication Credentials,Credenciais de Autenticação
Authentication Apps you can use are:,Os aplicativos de autenticação que você pode usar são:
Authentication,Autenticação
Authenticating...,Autenticando ...
Auth URL Data,Dados de URL de autenticação
Attempting to launch QZ Tray...,Tentativa de lançar o QZ Tray ...
Attempting Connection to QZ Tray...,Tentando conexão com a bandeja QZ ...
Attachment Removed,Anexo Removido
Attachment Limit (MB),Limite de Anexo (MB)
Attached To Name,Anexado Para Nome
Attached To Field,Relacionado ao campo
Attached To DocType,Anexado ao Doctype
Attach files / urls and add in table.,Anexe arquivos / URLs e adicione na tabela.
Attach file for Import,Anexar arquivo para importação
Attach Your Picture,Anexe sua Imagem
Attach Print,Anexar cópia
Attach Image,Anexar Imagem
Attach Document Print,Anexar Cópia do Documento
Attach,Anexar
Atleast one field of Parent Document Type is mandatory,Pelo menos um campo do tipo de documento pai é obrigatório
Assignment for {0} {1},Atribuição para {0} {1}
Assignment closed by {0},Atribuição fechado por {0}
Assignment Rules,Regras de Atribuição
Assignment Rule User,Usuário da regra de atribuição
Assignment Rule,Regra de Atribuição
Assignment Completed,Atribuição Concluída
Assignment Complete,Atribuição Concluída
Assignment,Tarefa
Assigned To/Owner,Atribuído para / Proprietário
Assigned To,Atribuído para
Assigned By Me,Atribuído por Mim
Assigned By Full Name,Atribuído por Nome completo
Assigned By,Atribuído por
Assigned,Atribuído
Assign to the one who has the least assignments,Atribuir a quem tem menos atribuições
Assign to me,Atribuir para mim
"Assign one by one, in sequence","Atribuir um por um, em seqüência"
Assign To Users,Atribuir aos usuários
Assign Condition,Atribuir condição
"As a best practice, do not assign the same set of permission rule to different Roles. Instead, set multiple Roles to the same User.","Como uma prática recomendada , não atribua o mesmo conjunto de regras de permissão para diferentes funções. Em vez disso, definir várias funções para o mesmo usuário."
Arial,Arial
Are you sure?,Você tem certeza?
Are you sure you want to relink this communication to {0}?,Você tem certeza que deseja relinkar a comunicação para {0}?
Are you sure you want to delete the attachment?,Tem certeza de que deseja excluir o anexo?
Archived Columns,Colunas Arquivadas
Archived,Arquivada
Archive,Arquivar
Appreciation,Apreciação
Appreciate,Apreciar
Apply to all Documents Types,Aplicar a todos os tipos de documentos
Apply this rule if the User is the Owner,Aplicar esta regra se o usuário é o proprietário
Apply To All Document Types,Aplicar a todos os tipos de documentos
Apply Strict User Permissions,Aplicar permissões de usuário estrito
Apply,Aplicar
Applicable Document Types,Tipos de documentos aplicáveis
"Append as communication against this DocType (must have fields, ""Status"", ""Subject"")","Anexar como a comunicação contra este DocType (deve ter campos, ""status"", ""Assunto"")"
Append To is mandatory for incoming mails,Para acrescentar é obrigatório para os e-mails recebidos
Append To can be one of {0},Para anexar pode ser um dos {0}
Append To,Acrescente Para
App {0} is not installed,App {0} não está instalado
App {0} already installed,O aplicativo {0} já está instalado
App not found,App não encontrado
App Secret Key,App chave secreta
App Name,Nome do App
App Client Secret,App Cliente secreto
App Client ID,App Cliente ID
App Access Key,App Chave de Acesso
App,Aplicativo
Api Access,Acesso Api
"Apart from System Manager, roles with Set User Permissions right can set permissions for other users for that Document Type.","Além de System Manager, as funções com o conjunto de permissões certas pode definir permissões para outros usuários para esse tipo de documento."
Any string-based printer languages can be used. Writing raw commands requires knowledge of the printer's native language provided by the printer manufacturer. Please refer to the developer manual provided by the printer manufacturer on how to write their native commands. These commands are rendered on the server side using the Jinja Templating Language.,"Qualquer linguagem de impressora baseada em string pode ser usada. Escrever comandos simples requer conhecimento da linguagem nativa da impressora fornecida pelo fabricante da impressora. Por favor, consulte o manual do desenvolvedor fornecido pelo fabricante da impressora sobre como escrever seus comandos nativos. Esses comandos são processados no lado do servidor usando o Jinja Templating Language."
"Another {0} with name {1} exists, select another name","Outra {0} com o nome {1} existe , selecione outro nome"
Another transaction is blocking this one. Please try again in a few seconds.,"Outra transação está bloqueando essa. Por favor, tente novamente em alguns segundos."
Ancestors Of,Antepassados De
An icon file with .ico extension. Should be 16 x 16 px. Generated using a favicon generator. [favicon-generator.org],Um ícone do arquivo com extensão .ico. Deve ser de 16 x 16 px. Gerado usando um gerador de favicon. [favicon-generator.org]
An error occured during the payment process. Please contact us.,"Ocorreu um erro durante o processo de pagamento. Por favor, entre em contato conosco."
Amount must be greater than 0.,Montante deve ser maior que 0.
Amount Field,Campo Valor
Amount Based On Field,Total Baseado no Campo
Amending,Correção
Amend,Corrigir
Always use Account's Name as Sender's Name,Sempre use o nome da conta como nome do remetente
Always use Account's Email Address as Sender,Sempre use de Conta endereço de email como remetente
"Always add ""Draft"" Heading for printing draft documents","Sempre adicionar ""Rascunho"" no cabeçalho para impressão de documentos não enviados"
Also adding the dependent currency field {0},Adicionando também o campo de moeda dependente {0}
Already Registered,Já está registrado
"Allowing DocType, DocType. Be careful!","Permitindo DocType , DocType . Tenha cuidado !"
Allowed In Mentions,Permitido nas menções
Allowed,Permitido
Allow user to login only before this hour (0-24),Permitir que o usuário faça o login somente antes deste horário (0-24)
Allow user to login only after this hour (0-24),Permitir que o usuário faça o login somente após este horário (0-24)
Allow saving if mandatory fields are not filled,Permitir salvar se os campos obrigatórios não são preenchidas
Allow page break inside tables,Permitir quebra de página dentro de tabelas
Allow only one session per user,Permitir apenas uma sessão por usuário
Allow on Submit,Permitir ao Enviar
Allow in Quick Entry,Permitir na entrada rápida
Allow events in timeline,Permitir eventos na linha do tempo
Allow approval for creator of the document,Permitir aprovação para o criador do documento
Allow Self Approval,Permitir auto-aprovação
Allow Roles,Permitir Funções
Allow Rename,Permitir Renomear
Allow Read On All Link Options,Permitir leitura em todas as opções de link
Allow Print for Draft,Permitir impressão para rascunho
Allow Print for Cancelled,Permitir impressão para cancelado
Allow Print,Permitir Impressão
Allow Multiple,Permitir Multiplos
Allow Modules,Permitir Módulos
Allow Login using User Name,Permitir Login usando o nome de usuário
Allow Login using Mobile Number,Permitir login usando o número de celular
Allow Login After Fail,Permitir login após falha
Allow Incomplete Forms,Permitir Formulários Incompletos
Allow Import (via Data Import Tool),Permitir Importação (via Data Import Tool)
Allow Guest to View,Permitir visualização de convidado
Allow Edit,Permitir Editar
Allow Dropbox Access,Permitir Acesso Dropbox
Allow Consecutive Login Attempts,Permitir tentativas de login consecutivas
Allow Comments,Permitir Comentários
Allow Bulk Edit,Permitir edição em massa
Allow,Permitir
Allocated To,Atribuído para
All-uppercase is almost as easy to guess as all-lowercase.,Tudo em maiúsculas é quase tão fácil de adivinhar como tudo em minúsculas.
"All possible Workflow States and roles of the workflow. Docstatus Options: 0 is""Saved"", 1 is ""Submitted"" and 2 is ""Cancelled""","Todos os status possíveis de fluxo de trabalho e as funções do fluxo de trabalho. Opções Docstatus: 0 é ""Salvo"", 1 é ""Enviado"" e 2 é ""Cancelado"""
All customizations will be removed. Please confirm.,Todas as personalizações serão removidos. Por favor confirme.
All Images attached to Website Slideshow should be public,Todas as imagens anexadas à apresentação de slides do site devem ser públicas
Align Value,Alinhar Valor
Align Labels to the Right,Alinhar etiquetas à direita
Advanced Search,Pesquisa Avançada
Advanced Control,Controle Avançado
Advanced,Avançado
Administrator accessed {0} on {1} via IP Address {2}.,Administrador acessada {0} em {1} através do endereço IP {2}.
Administrator Logged In,Administrador logou-se
Admin,Administrador
Adds a custom field to a DocType,Adiciona um campo personalizado para um Tipo de Documento (DocType)
Adds a client custom script to a DocType,Adiciona um script personalizado do cliente a um DocType
